ID,probability
TEST_00000,0.03071269
TEST_00001,0.13615865
TEST_00002,0.25272742
TEST_00003,0.20328867
TEST_00004,0.96997565
TEST_00005,0.21842627
TEST_00006,0.8999833
TEST_00007,0.69865763
TEST_00008,0.49022174
TEST_00009,0.07749565
TEST_00010,0.15541764
TEST_00011,0.8941965
TEST_00012,0.76392686
TEST_00013,0.79514587
TEST_00014,0.559066
TEST_00015,0.08979093
TEST_00016,0.40808287
TEST_00017,0.7334496
TEST_00018,0.39067805
TEST_00019,0.99860775
TEST_00020,0.47216186
TEST_00021,0.7957298
TEST_00022,0.48813882
TEST_00023,0.38860184
TEST_00024,0.786983
TEST_00025,0.09418766
TEST_00026,0.19306295
TEST_00027,0.89054596
TEST_00028,0.27924767
TEST_00029,0.30397373
TEST_00030,0.8673232
TEST_00031,0.33391586
TEST_00032,0.29021284
TEST_00033,0.30076057
TEST_00034,0.7929408
TEST_00035,0.050706696
TEST_00036,0.23721452
TEST_00037,0.62058246
TEST_00038,0.41465575
TEST_00039,0.03125895
TEST_00040,0.31962872
TEST_00041,0.25865412
TEST_00042,0.57868034
TEST_00043,0.56489503
TEST_00044,0.6119622
TEST_00045,0.93737996
TEST_00046,0.93446
TEST_00047,0.40519834
TEST_00048,0.25574073
TEST_00049,0.7947395
TEST_00050,0.48588496
TEST_00051,0.22302508
TEST_00052,0.22238334
TEST_00053,0.9833746
TEST_00054,0.022538777
TEST_00055,0.82906723
TEST_00056,0.6258718
TEST_00057,0.38601264
TEST_00058,0.9570896
TEST_00059,0.3432067
TEST_00060,0.13151987
TEST_00061,0.3044067
TEST_00062,0.664512
TEST_00063,0.63909537
TEST_00064,0.31831414
TEST_00065,0.095131405
TEST_00066,0.5073312
TEST_00067,0.35401645
TEST_00068,0.5579202
TEST_00069,0.9176835
TEST_00070,0.7655812
TEST_00071,0.69895077
TEST_00072,0.3910822
TEST_00073,0.48507667
TEST_00074,0.24069193
TEST_00075,0.38176912
TEST_00076,0.14588252
TEST_00077,0.100745
TEST_00078,0.2273552
TEST_00079,0.38063443
TEST_00080,0.6933305
TEST_00081,0.08964659
TEST_00082,0.39077133
TEST_00083,0.2650227
TEST_00084,0.8570464
TEST_00085,0.7640779
TEST_00086,0.07339647
TEST_00087,0.7863945
TEST_00088,0.20103922
TEST_00089,0.7552289
TEST_00090,0.40716356
TEST_00091,0.19706441
TEST_00092,0.6838309
TEST_00093,0.98525983
TEST_00094,0.008471472
TEST_00095,0.0903927
TEST_00096,0.89534014
TEST_00097,0.21811095
TEST_00098,0.7529639
TEST_00099,0.51109284
TEST_00100,0.18880168
TEST_00101,0.29105
TEST_00102,0.72464716
TEST_00103,0.55629253
TEST_00104,0.6985688
TEST_00105,0.92466944
TEST_00106,0.4628643
TEST_00107,0.028565401
TEST_00108,0.66723436
TEST_00109,0.024712715
TEST_00110,0.824051
TEST_00111,0.72622824
TEST_00112,0.14396393
TEST_00113,0.75033253
TEST_00114,0.31166577
TEST_00115,0.77282244
TEST_00116,0.12144516
TEST_00117,0.894654
TEST_00118,0.680298
TEST_00119,0.25395316
TEST_00120,0.09173171
TEST_00121,0.039401777
TEST_00122,0.6193589
TEST_00123,0.9418699
TEST_00124,0.8268733
TEST_00125,0.4927687
TEST_00126,0.13554797
TEST_00127,0.17291573
TEST_00128,0.53357834
TEST_00129,0.7845682
TEST_00130,0.42342257
TEST_00131,0.8050629
TEST_00132,0.018737162
TEST_00133,0.48765698
TEST_00134,0.7334762
TEST_00135,0.05029589
TEST_00136,0.3541897
TEST_00137,0.44345212
TEST_00138,0.1833102
TEST_00139,0.48064
TEST_00140,0.14253388
TEST_00141,0.048044235
TEST_00142,0.57059306
TEST_00143,0.11624458
TEST_00144,0.25283623
TEST_00145,0.916762
TEST_00146,0.2784949
TEST_00147,0.39023393
TEST_00148,0.4288097
TEST_00149,0.82112205
TEST_00150,0.05679772
TEST_00151,0.0005884508
TEST_00152,0.8234292
TEST_00153,0.57462996
TEST_00154,0.14265823
TEST_00155,0.40597335
TEST_00156,0.7597144
TEST_00157,0.71153253
TEST_00158,0.84879035
TEST_00159,0.63654053
TEST_00160,0.8232716
TEST_00161,0.9339736
TEST_00162,0.64653206
TEST_00163,0.04980292
TEST_00164,0.97904664
TEST_00165,0.38142714
TEST_00166,0.7148101
TEST_00167,0.3743591
TEST_00168,0.73754424
TEST_00169,0.3142949
TEST_00170,0.35458046
TEST_00171,0.40359956
TEST_00172,0.46160302
TEST_00173,0.49679685
TEST_00174,0.23875336
TEST_00175,0.52042806
TEST_00176,0.85006934
TEST_00177,0.34371966
TEST_00178,0.672808
TEST_00179,0.6695504
TEST_00180,0.705205
TEST_00181,0.88012475
TEST_00182,0.28560296
TEST_00183,0.9546825
TEST_00184,0.22954245
TEST_00185,0.3627111
TEST_00186,0.6538022
TEST_00187,0.4532048
TEST_00188,0.6439651
TEST_00189,0.5263748
TEST_00190,0.88891155
TEST_00191,0.38913256
TEST_00192,0.54802096
TEST_00193,0.16931173
TEST_00194,0.99771726
TEST_00195,0.76384246
TEST_00196,0.8768784
TEST_00197,0.48915806
TEST_00198,0.5235858
TEST_00199,0.6147046
TEST_00200,0.77087057
TEST_00201,0.89043933
TEST_00202,0.51157475
TEST_00203,0.54240733
TEST_00204,0.09234237
TEST_00205,0.23097248
TEST_00206,0.044320337
TEST_00207,0.53316754
TEST_00208,0.3851244
TEST_00209,0.5317775
TEST_00210,0.85906047
TEST_00211,0.2500916
TEST_00212,0.32411426
TEST_00213,0.17631985
